薬効分類コード,意味,服薬指導文章
1112,全身麻酔剤,全身麻酔剤は手術時に使用され、通常は退院後も継続して使用する薬剤ではありません｜手術後の状態は安定しており、合併症の兆候は見られません｜麻酔からの覚醒は順調で、意識レベルも正常に回復しています｜術後の疼痛管理は適切に行われており、鎮痛剤の使用状況も良好です
1114,全身麻酔剤,全身麻酔剤は手術時に使用され、通常は退院後も継続して使用する薬剤ではありません｜手術後の状態は安定しており、合併症の兆候は見られません｜麻酔からの覚醒は順調で、意識レベルも正常に回復しています｜術後の疼痛管理は適切に行われており、鎮痛剤の使用状況も良好です
1115,全身麻酔剤,全身麻酔剤は手術時に使用され、通常は退院後も継続して使用する薬剤ではありません｜手術後の状態は安定しており、合併症の兆候は見られません｜麻酔からの覚醒は順調で、意識レベルも正常に回復しています｜術後の疼痛管理は適切に行われており、鎮痛剤の使用状況も良好です
1116,全身麻酔剤,全身麻酔剤は手術時に使用され、通常は退院後も継続して使用する薬剤ではありません｜手術後の状態は安定しており、合併症の兆候は見られません｜麻酔からの覚醒は順調で、意識レベルも正常に回復しています｜術後の疼痛管理は適切に行われており、鎮痛剤の使用状況も良好です
1119,全身麻酔剤,全身麻酔剤は手術時に使用され、通常は退院後も継続して使用する薬剤ではありません｜手術後の状態は安定しており、合併症の兆候は見られません｜麻酔からの覚醒は順調で、意識レベルも正常に回復しています｜術後の疼痛管理は適切に行われており、鎮痛剤の使用状況も良好です
1121,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1123,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1124,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1125,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1126,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1129,催眠鎮静剤、抗不安剤,症状の変動なく、眠気やふらつきの訴えなし｜日中の眠気や集中力低下などの副作用は確認されず｜離脱症状や依存性の懸念なく、順調に服用継続｜残薬管理良好、次回の処方量に問題なし
1131,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1132,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1133,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1135,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1137,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1139,抗てんかん剤,発作の回数、頻度、程度に変化なく安定している｜眠気、ふらつき、めまいなどの副作用なく服薬継続できている｜食欲不振、吐き気、便秘などの消化器症状の訴えなし｜意欲減退、気分の落ち込みなどの精神症状の訴えなく問題なし｜処方医の指示通りに定期的な受診を継続している
1141,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1143,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1144,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1145,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
