成分コード,意味,服薬指導文章
1112700,ハロタン,悪心や嘔吐などの術後合併症の訴えなし｜肝機能障害を示唆する全身倦怠感や食欲不振なし｜発熱や筋硬直などの悪性高熱症を疑う徴候なし｜麻酔からの覚醒後の異常や呼吸器系の違和感なし
1114700,麻酔用エーテル,麻酔導入及び維持時の呼吸抑制や気道分泌過多などの副作用発現なく経過良好｜揮発性麻酔薬特有の悪心嘔吐や術後のせん妄等の症状なく安定している｜気道刺激による咳嗽や喉頭痙攣等の異常所見なく経過順調｜中枢神経抑制作用に伴う遷延性の覚醒遅延や意識障害などの徴候は見られない
1115400,チオペンタールナトリウム,過度の眠気やふらつきの訴えなく経過良好｜呼吸抑制等の副作用徴候は見られず安定している｜意識レベルや覚醒状態に異常なく経過良好｜使用後の倦怠感やふらつきの訴えなく安全に経過している
1115403,チアミラールナトリウム,眠気やふらつきなどの副作用発現なく経過良好｜投与後の意識回復に遅延などの異常なく経過良好｜注射部位の腫れや痛みなどの局所症状なく経過良好｜呼吸抑制等の有害事象の兆候なく安定して経過している
1116700,亜酸化窒素,吸入による中枢神経抑制作用を確認したが意識レベルに問題なく経過良好｜使用後の眠気やふらつきの訴えなく安全に経過｜酸素化状態に異常を認めず副作用の発現もなし｜鎮静効果は適切であり過度な鎮静や悪心などの症状も認めず安定して経過
1119400,ケタミン塩酸塩,解離感や眠気などの精神症状の発現なく服用できている｜ふらつきやめまいなどの自覚症状なく安定して経過している｜悪心や嘔吐などの消化器症状の訴えなく継続に問題なし｜幻覚や異常な夢などの精神的な副作用なく良好に経過している
1119401,ドロペリドール,眠気やふらつきなどの自覚症状なく安定して経過している｜錐体外路症状等の副作用発現なく経過良好｜鎮静後の体調変化なく問題なく経過している｜吐き気や嘔吐の再発なく治療効果が得られている
1119402,プロポフォール,注射後の眠気やふらつき等の残存感はなく経過良好｜注射部位の痛みや刺激感等の局所症状なく問題なし｜呼吸抑制や血圧低下等の副作用症状は認められず安定して経過｜薬剤投与に伴う悪心や嘔吐等の消化器症状の発現なく良好
1119403,レミマゾラムベシル酸塩,眠気やふらつきなどの自覚症状なく経過良好｜鎮静後のふらつきや転倒等の訴えなく安定して経過｜呼吸抑制や過度の鎮静等の副作用症状は認められず経過順調｜術後の体調安定しており特記すべき副作用の徴候はなし
1119701,イソフルラン,吸入麻酔薬であるため全身管理下で使用される点を確認し術後の覚醒状態や体調不良等の訴えはなし｜術後の悪心嘔吐や頭痛などの麻酔関連の副作用出現なく経過は良好｜術中の血圧変動や呼吸抑制等の麻酔中特記すべきイベントはなし｜麻酔薬の使用による意識の混濁やせん妄症状等の精神神経系への影響はなし
