id,薬価コード,成分名,商品名,薬効分類コード,成分グループ,剤形コード,規格番号,銘柄番号,check_digit,規格,先発後発区分,削除フラグ
1,2710803U1044,リドカイン塩酸塩・アドレナリン酒石酸水素塩,オーラ注歯科用カートリッジ１．８ｍＬ,2710,803,U,1,4,4,１．８ｍＬ１管,後発,False
2,2710803U2032,リドカイン塩酸塩・アドレナリン酒石酸水素塩,オーラ注歯科用カートリッジ１．０ｍＬ,2710,803,U,2,3,2,１ｍＬ１管,後発,False
3,2710806U1021,リドカイン塩酸塩・アドレナリン,歯科用キシロカインカートリッジ,2710,806,U,1,2,1,１．８ｍＬ１管,その他,False
4,2710806U1030,リドカイン塩酸塩・アドレナリン,キシレステシンＡ注射液（カートリッジ）,2710,806,U,1,3,0,１．８ｍＬ１管,その他,False
5,2710806U1056,リドカイン塩酸塩・アドレナリン,エピリド配合注歯科用カートリッジ１．８ｍＬ,2710,806,U,1,5,6,１．８ｍＬ１管,その他,False
6,2710810U3020,メピバカイン塩酸塩,スキャンドネストカートリッジ３％,2710,810,U,3,2,0,３％１．８ｍＬ１管,その他,False
7,2710813U1030,プロピトカイン塩酸塩・フェリプレシン,歯科用シタネスト－オクタプレシンカートリッジ,2710,813,U,1,3,0,１．８ｍＬ１管,その他,False
8,2710816P1030,アミノ安息香酸エチル,ビーゾカイン歯科用ゼリー２０％,2710,816,P,1,3,0,１ｇ,後発,False
9,2710816Q1043,アミノ安息香酸エチル,ジンジカインゲル２０％,2710,816,Q,1,4,3,１ｇ,後発,False
10,2710816Q1051,アミノ安息香酸エチル,ハリケインゲル歯科用２０％,2710,816,Q,1,5,1,１ｇ,後発,False
11,2710816Q1060,アミノ安息香酸エチル,ハリケインリキッド歯科用２０％,2710,816,Q,1,6,0,１ｇ,後発,False
12,2710818V1020,アミノ安息香酸エチル・パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩,ネオザロカインパスタ,2710,818,V,1,2,0,１ｇ,その他,False
13,2710819M1029,アミノ安息香酸エチル・ジブカイン塩酸塩配合剤,プロネスパスタアロマ,2710,819,M,1,2,9,１ｇ,その他,False
14,2710821U1026,アルチカイン塩酸塩・アドレナリン酒石酸水素塩,セプトカイン配合注カートリッジ,2710,821,U,1,2,6,１．７ｍＬ１管,先発,False
15,2760803M1038,エピジヒドロコレステリン・テトラサイクリン塩酸塩,テトラサイクリン・プレステロン歯科用軟膏,2760,803,M,1,3,8,１ｇ,その他,False
16,2760804M1024,ミノサイクリン塩酸塩,ペリオクリン歯科用軟膏,2760,804,M,1,2,4,１０ｍｇ０．５ｇ１シリンジ,先発,False
17,2760804M1059,ミノサイクリン塩酸塩,ミノサイクリン塩酸塩歯科用軟膏２％「昭和」,2760,804,M,1,5,9,１０ｍｇ０．５ｇ１シリンジ,後発,False
18,2760806D1031,オキシテトラサイクリン塩酸塩,オキシテトラコーン歯科用挿入剤５ｍｇ,2760,806,D,1,3,1,５ｍｇ１個,その他,False
19,2760808B1030,フラジオマイシン硫酸塩,デンターグル含嗽用散２０ｍｇ／包,2760,808,B,1,3,0,ＦＲＭ２０ｍｇ１包,その他,False
20,2790810M1037,ヒドロコルチゾン酢酸エステル・ヒノキチオール配合剤,ヒノポロン口腔用軟膏,2790,810,M,1,3,7,１ｇ,その他,False
21,2790818V1039,酸化亜鉛・チョウジ油,サージカルパック口腔用,2790,818,V,1,3,9,散剤（液剤を含む）１ｇ,後発,False
22,2790820Q1032,ベンゼトニウム塩化物,ベンゼトニウム塩化物うがい液０．２％「ＫＹＳ」,2790,820,Q,1,3,2,１ｍＬ,その他,False
23,2790820Q1040,ベンゼトニウム塩化物,ネオステリングリーンうがい液０．２％,2790,820,Q,1,4,0,１ｍＬ,その他,False
24,2790821P1023,塩化アルミニウム・セチルピリジニウム配合剤,歯科用ＴＤゼット・ゼリー,2790,821,P,1,2,3,１ｇ,先発,False
25,2790821Q1037,塩化アルミニウム・セチルピリジニウム配合剤,歯科用ＴＤゼット液,2790,821,Q,1,3,7,１ｍＬ,先発,False
26,2790823U1026,トラフェルミン（遺伝子組換え）,リグロス歯科用液キット６００μｇ,2790,823,U,1,2,6,６００μｇ１キット,先発,False
27,2790823U2022,トラフェルミン（遺伝子組換え）,リグロス歯科用液キット１２００μｇ,2790,823,U,2,2,2,１，２００μｇ１キット,先発,False
28,1121001X1018,ブロモバレリル尿素,ブロモバレリル尿素,1121,1,X,1,1,8,１ｇ,その他,False
29,1123001X1012,抱水クロラール,抱水クロラール,1123,1,X,1,1,2,１ｇ,その他,False
30,1124001B1039,エスタゾラム,ユーロジン散１％,1124,1,B,1,3,9,１％１ｇ,先発,False
31,1124001F1022,エスタゾラム,ユーロジン１ｍｇ錠,1124,1,F,1,2,2,１ｍｇ１錠,先発,False
32,1124001F1030,エスタゾラム,エスタゾラム錠１ｍｇ「アメル」,1124,1,F,1,3,0,１ｍｇ１錠,後発,False
33,1124001F2010,エスタゾラム,エスタゾラム２ｍｇ錠,1124,1,F,2,1,0,２ｍｇ１錠,後発,False
34,1124001F2029,エスタゾラム,ユーロジン２ｍｇ錠,1124,1,F,2,2,9,２ｍｇ１錠,先発,False
35,1124002M2022,フルラゼパム塩酸塩,ダルメートカプセル１５,1124,2,M,2,2,2,１５ｍｇ１カプセル,先発,False
36,1124003B1070,ニトラゼパム,ネルボン散１％,1124,3,B,1,7,0,１％１ｇ,その他,False
37,1124003C1092,ニトラゼパム,ベンザリン細粒１％,1124,3,C,1,9,2,１％１ｇ,その他,False
38,1124003C1114,ニトラゼパム,ニトラゼパム細粒１％「ＴＣＫ」,1124,3,C,1,11,4,１％１ｇ,後発,False
39,1124003F1021,ニトラゼパム,ベンザリン錠２,1124,3,F,1,2,1,２ｍｇ１錠,その他,False
40,1124003F2010,ニトラゼパム,ニトラゼパム５ｍｇ錠,1124,3,F,2,1,0,５ｍｇ１錠,後発,False
41,1124003F2222,ニトラゼパム,ベンザリン錠５,1124,3,F,2,22,2,５ｍｇ１錠,先発,False
42,1124003F2230,ニトラゼパム,ネルボン錠５ｍｇ,1124,3,F,2,23,0,５ｍｇ１錠,先発,False
43,1124003F3016,ニトラゼパム,ニトラゼパム１０ｍｇ錠,1124,3,F,3,1,6,１０ｍｇ１錠,後発,False
44,1124003F3083,ニトラゼパム,ネルボン錠１０ｍｇ,1124,3,F,3,8,3,１０ｍｇ１錠,先発,False
45,1124003F3121,ニトラゼパム,ベンザリン錠１０,1124,3,F,3,12,1,１０ｍｇ１錠,先発,False
46,1124005C1032,ハロキサゾラム,ソメリン細粒１％,1124,5,C,1,3,2,１％１ｇ,先発,False
47,1124005F1020,ハロキサゾラム,ソメリン錠５ｍｇ,1124,5,F,1,2,0,５ｍｇ１錠,先発,False
48,1124005F2027,ハロキサゾラム,ソメリン錠１０ｍｇ,1124,5,F,2,2,7,１０ｍｇ１錠,先発,False
