id,変換前(商品名/誤字),変換後(成分名)
1,オーラ注歯科用カートリッジ１．８ｍＬ,リドカイン塩酸塩・アドレナリン酒石酸水素塩
2,オーラ注歯科用カートリッジ１．０ｍＬ,リドカイン塩酸塩・アドレナリン酒石酸水素塩
3,歯科用キシロカインカートリッジ,リドカイン塩酸塩・アドレナリン
4,キシレステシンＡ注射液（カートリッジ）,リドカイン塩酸塩・アドレナリン
5,エピリド配合注歯科用カートリッジ１．８ｍＬ,リドカイン塩酸塩・アドレナリン
6,スキャンドネストカートリッジ３％,メピバカイン塩酸塩
7,歯科用シタネスト－オクタプレシンカートリッジ,プロピトカイン塩酸塩・フェリプレシン
8,ビーゾカイン歯科用ゼリー２０％,アミノ安息香酸エチル
9,ジンジカインゲル２０％,アミノ安息香酸エチル
10,ハリケインゲル歯科用２０％,アミノ安息香酸エチル
11,ハリケインリキッド歯科用２０％,アミノ安息香酸エチル
12,ネオザロカインパスタ,アミノ安息香酸エチル・パラブチルアミノ安息香酸ジエチルアミノエチル塩酸塩
13,プロネスパスタアロマ,アミノ安息香酸エチル・ジブカイン塩酸塩配合剤
14,セプトカイン配合注カートリッジ,アルチカイン塩酸塩・アドレナリン酒石酸水素塩
15,テトラサイクリン・プレステロン歯科用軟膏,エピジヒドロコレステリン・テトラサイクリン塩酸塩
16,ペリオクリン歯科用軟膏,ミノサイクリン塩酸塩
17,ミノサイクリン塩酸塩歯科用軟膏２％「昭和」,ミノサイクリン塩酸塩
18,オキシテトラコーン歯科用挿入剤５ｍｇ,オキシテトラサイクリン塩酸塩
19,デンターグル含嗽用散２０ｍｇ／包,フラジオマイシン硫酸塩
20,ヒノポロン口腔用軟膏,ヒドロコルチゾン酢酸エステル・ヒノキチオール配合剤
21,サージカルパック口腔用,酸化亜鉛・チョウジ油
22,ベンゼトニウム塩化物うがい液０．２％「ＫＹＳ」,ベンゼトニウム塩化物
23,ネオステリングリーンうがい液０．２％,ベンゼトニウム塩化物
24,歯科用ＴＤゼット・ゼリー,塩化アルミニウム・セチルピリジニウム配合剤
25,歯科用ＴＤゼット液,塩化アルミニウム・セチルピリジニウム配合剤
26,リグロス歯科用液キット６００μｇ,トラフェルミン（遺伝子組換え）
27,リグロス歯科用液キット１２００μｇ,トラフェルミン（遺伝子組換え）
28,ブロモバレリル尿素,ブロモバレリル尿素
29,抱水クロラール,抱水クロラール
30,ユーロジン散１％,エスタゾラム
31,ユーロジン１ｍｇ錠,エスタゾラム
32,エスタゾラム錠１ｍｇ「アメル」,エスタゾラム
33,エスタゾラム２ｍｇ錠,エスタゾラム
34,ユーロジン２ｍｇ錠,エスタゾラム
35,ダルメートカプセル１５,フルラゼパム塩酸塩
36,ネルボン散１％,ニトラゼパム
37,ベンザリン細粒１％,ニトラゼパム
38,ニトラゼパム細粒１％「ＴＣＫ」,ニトラゼパム
39,ベンザリン錠２,ニトラゼパム
40,ニトラゼパム５ｍｇ錠,ニトラゼパム
41,ベンザリン錠５,ニトラゼパム
42,ネルボン錠５ｍｇ,ニトラゼパム
43,ニトラゼパム１０ｍｇ錠,ニトラゼパム
44,ネルボン錠１０ｍｇ,ニトラゼパム
45,ベンザリン錠１０,ニトラゼパム
46,ソメリン細粒１％,ハロキサゾラム
47,ソメリン錠５ｍｇ,ハロキサゾラム
48,ソメリン錠１０ｍｇ,ハロキサゾラム
49,トリアゾラム０．１２５ｍｇ錠,トリアゾラム
50,ハルシオン０．１２５ｍｇ錠,トリアゾラム
51,トリアゾラム０．２５ｍｇ錠,トリアゾラム
52,ハルシオン０．２５ｍｇ錠,トリアゾラム
53,フルニトラゼパム１ｍｇ錠,フルニトラゼパム
54,サイレース錠１ｍｇ,フルニトラゼパム
55,フルニトラゼパム２ｍｇ錠,フルニトラゼパム
56,サイレース錠２ｍｇ,フルニトラゼパム
57,ブロチゾラム０．２５ｍｇ錠,ブロチゾラム
58,レンドルミン錠０．２５ｍｇ,ブロチゾラム
59,ブロチゾラム０．２５ｍｇ口腔内崩壊錠,ブロチゾラム
60,レンドルミンＤ錠０．２５ｍｇ,ブロチゾラム
61,エバミール錠１．０,ロルメタゼパム
62,ロラメット錠１．０,ロルメタゼパム
63,セレナール散１０％,オキサゾラム
64,セレナール錠５,オキサゾラム
65,セレナール錠１０,オキサゾラム
66,セパゾン散１％,クロキサゾラム
67,セパゾン錠１,クロキサゾラム
68,セパゾン錠２,クロキサゾラム
69,メンドンカプセル７．５ｍｇ,クロラゼプ酸二カリウム
70,セルシン散１％,ジアゼパム
71,ジアゼパム散１％「アメル」,ジアゼパム
72,ホリゾン散１％,ジアゼパム
73,ジアゼパム２ｍｇ錠,ジアゼパム
74,２ｍｇセルシン錠,ジアゼパム
75,ホリゾン錠２ｍｇ,ジアゼパム
76,ジアゼパム５ｍｇ錠,ジアゼパム
77,５ｍｇセルシン錠,ジアゼパム
78,ホリゾン錠５ｍｇ,ジアゼパム
79,１０ｍｇセルシン錠,ジアゼパム
80,ジアゼパム錠１０ｍｇ「ツルハラ」,ジアゼパム
81,セルシンシロップ０．１％,ジアゼパム
82,レキソタン細粒１％,ブロマゼパム
83,ブロマゼパム細粒１％「サンド」,ブロマゼパム
84,レキソタン錠１,ブロマゼパム
85,ブロマゼパム錠１ｍｇ「サンド」,ブロマゼパム
86,レキソタン錠２,ブロマゼパム
87,ブロマゼパム錠２ｍｇ「サンド」,ブロマゼパム
88,ブロマゼパム錠３ｍｇ「サンド」,ブロマゼパム
89,ブロマゼパム５ｍｇ錠,ブロマゼパム
90,レキソタン錠５,ブロマゼパム
91,メダゼパム錠２（ツルハラ）,メダゼパム
92,レスミット錠２,メダゼパム
93,メダゼパム錠５（ツルハラ）,メダゼパム
94,レスミット錠５,メダゼパム
95,ワイパックス錠０．５,ロラゼパム
96,ロラゼパム錠０．５ｍｇ「サワイ」,ロラゼパム
97,ロラゼパム１ｍｇ錠,ロラゼパム
98,ワイパックス錠１．０,ロラゼパム
99,アルプラゾラム０．４ｍｇ錠,アルプラゾラム
100,コンスタン０．４ｍｇ錠,アルプラゾラム
101,ソラナックス０．４ｍｇ錠,アルプラゾラム
102,アルプラゾラム０．８ｍｇ錠,アルプラゾラム
103,コンスタン０．８ｍｇ錠,アルプラゾラム
104,ソラナックス０．８ｍｇ錠,アルプラゾラム
105,アルプラゾラム錠０．８ｍｇ「アメル」,アルプラゾラム
106,コレミナール細粒１％,フルタゾラム
107,コレミナール錠４ｍｇ,フルタゾラム
108,メレックス細粒０．１％,メキサゾラム
109,メレックス錠０．５ｍｇ,メキサゾラム
110,メレックス錠１ｍｇ,メキサゾラム
111,トフィソパム細粒１０％「ツルハラ」,トフィソパム
112,トフィソパム５０ｍｇ錠,トフィソパム
113,グランダキシン錠５０,トフィソパム
114,クロルジアゼポキシド散,クロルジアゼポキシド
115,クロルジアゼポキシド散１％「ツルハラ」,クロルジアゼポキシド
116,クロルジアゼポキシド錠,クロルジアゼポキシド
117,メイラックス細粒１％,ロフラゼプ酸エチル
118,ロフラゼプ酸エチル１ｍｇ錠,ロフラゼプ酸エチル
119,メイラックス錠１ｍｇ,ロフラゼプ酸エチル
120,ロフラゼプ酸エチル２ｍｇ錠,ロフラゼプ酸エチル
121,メイラックス錠２ｍｇ,ロフラゼプ酸エチル
122,クアゼパム１５ｍｇ錠,クアゼパム
123,ドラール錠１５,クアゼパム
124,クアゼパム錠１５ｍｇ「ＭＮＰ」,クアゼパム
125,クアゼパム錠１５ｍｇ「トーワ」,クアゼパム
126,クアゼパム錠１５ｍｇ「日医工」,クアゼパム
127,クアゼパム２０ｍｇ錠,クアゼパム
128,ドラール錠２０,クアゼパム
129,クアゼパム錠２０ｍｇ「ＭＮＰ」,クアゼパム
130,クアゼパム錠２０ｍｇ「トーワ」,クアゼパム
131,クアゼパム錠２０ｍｇ「日医工」,クアゼパム
132,アモバルビタール,アモバルビタール
133,バルビタール,バルビタール
134,フェノバルビタール散１０％,フェノバルビタール
135,フェノバール散１０％,フェノバルビタール
136,フェノバルビタール散１０％「マルイシ」,フェノバルビタール
137,フェノバルビタール散１０％「シオエ」,フェノバルビタール
138,フェノバルビタール,フェノバルビタール
139,フェノバルビタール「ホエイ」原末,フェノバルビタール
140,フェノバール錠３０ｍｇ,フェノバルビタール
141,フェノバールエリキシル０．４％,フェノバルビタール
142,ラボナ錠５０ｍｇ,ペントバルビタールカルシウム
143,臭化カリウム,臭化カリウム
144,臭化ナトリウム,臭化ナトリウム
145,トリクロリールシロップ１０％,トリクロホスナトリウム
146,リスミー錠１ｍｇ,リルマザホン塩酸塩水和物
147,リスミー錠２ｍｇ,リルマザホン塩酸塩水和物
148,ゾピクロン７．５ｍｇ錠,ゾピクロン
149,アモバン錠７．５,ゾピクロン
150,ゾピクロン１０ｍｇ錠,ゾピクロン
151,アモバン錠１０,ゾピクロン
152,タンドスピロンクエン酸塩５ｍｇ錠,タンドスピロンクエン酸塩
153,セディール錠５ｍｇ,タンドスピロンクエン酸塩
154,タンドスピロンクエン酸塩１０ｍｇ錠,タンドスピロンクエン酸塩
155,セディール錠１０ｍｇ,タンドスピロンクエン酸塩
156,タンドスピロンクエン酸塩２０ｍｇ錠,タンドスピロンクエン酸塩
157,セディール錠２０ｍｇ,タンドスピロンクエン酸塩
158,ゾルピデム酒石酸塩５ｍｇ錠,ゾルピデム酒石酸塩
159,マイスリー錠５ｍｇ,ゾルピデム酒石酸塩
160,ゾルピデム酒石酸塩錠５ｍｇ「日医工」,ゾルピデム酒石酸塩
161,ゾルピデム酒石酸塩１０ｍｇ錠,ゾルピデム酒石酸塩
162,マイスリー錠１０ｍｇ,ゾルピデム酒石酸塩
163,ゾルピデム酒石酸塩錠１０ｍｇ「ＡＦＰ」,ゾルピデム酒石酸塩
164,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,ゾルピデム酒石酸塩
165,ゾルピデム酒石酸塩錠１０ｍｇ「ＪＧ」,ゾルピデム酒石酸塩
166,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,ゾルピデム酒石酸塩
167,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,ゾルピデム酒石酸塩
168,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,ゾルピデム酒石酸塩
169,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,ゾルピデム酒石酸塩
170,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,ゾルピデム酒石酸塩
171,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,ゾルピデム酒石酸塩
172,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,ゾルピデム酒石酸塩
173,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,ゾルピデム酒石酸塩
174,ゾルピデム酒石酸塩錠１０ｍｇ「日医工」,ゾルピデム酒石酸塩
175,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,ゾルピデム酒石酸塩
176,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,ゾルピデム酒石酸塩
177,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,ゾルピデム酒石酸塩
178,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,ゾルピデム酒石酸塩
179,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＩＧ」,ゾルピデム酒石酸塩
180,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,ゾルピデム酒石酸塩
181,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,ゾルピデム酒石酸塩
182,ゾルピデム酒石酸塩ＯＤ錠５ｍｇ「日医工」,ゾルピデム酒石酸塩
183,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,ゾルピデム酒石酸塩
184,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,ゾルピデム酒石酸塩
185,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,ゾルピデム酒石酸塩
186,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「日医工」,ゾルピデム酒石酸塩
187,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,ゾルピデム酒石酸塩
188,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,ゾルピデム酒石酸塩
189,エスゾピクロン１ｍｇ錠,エスゾピクロン
190,ルネスタ錠１ｍｇ,エスゾピクロン
